Student_ID,JAMB_Score,State_of_Origin,Distance_Category,Program_Type,Academic_Year,Financial_Aid,Disciplinary_Count,Internet_Access,Library_Usage,Cumulative_GPA,Attendance_Rate,Predicted_Dropout
1,282,Other,Regional,Science,1,0,0,0,0,2.7669644086892573,0.39287583749369825,0
2,272,Rivers,Local,Arts,3,0,0,1,10,3.017516252438787,0.4429862062436041,0
3,194,Rivers,Far,Science,3,0,0,0,15,4.253646942373892,0.690212344230625,0
4,286,Other,Local,Management,3,0,0,1,3,3.054612604117105,0.45040547657926777,0
5,251,Oyo,Regional,Science,1,0,1,0,6,3.238311026140172,0.48714516098388116,0
6,200,Enugu,Regional,Science,3,1,2,0,11,2.9746493433686965,0.43441282442958606,1
7,282,Other,Regional,Science,4,1,0,1,5,2.9801340975542185,0.43550977526669044,0
8,301,Kano,Local,Science,3,1,0,0,19,3.4964016086624734,0.5387632774883414,0
9,254,Rivers,Regional,Arts,2,0,0,0,8,3.6423545513584847,0.5679538660275437,0
10,267,Kano,Far,Management,2,0,0,0,7,2.685401255029946,0.37656320676183597,0
11,296,Other,Regional,Arts,4,0,0,1,13,2.5871356350824564,0.35691008277233804,0
12,279,Enugu,Local,Arts,3,0,0,1,14,2.7126911289139497,0.38202118153863673,0
13,283,Oyo,Regional,Science,2,0,0,0,20,2.0789967886401852,0.2552823134838838,1
14,331,Kano,Regional,Arts,3,1,1,1,4,1.9276557931845621,0.2250141143927592,0
15,310,Kano,Local,Science,2,0,0,0,14,3.4377337177799263,0.527029699311832,0
16,329,Enugu,Far,Science,1,1,0,1,5,3.9508766425400896,0.6296582842638647,0
17,232,Oyo,Local,Management,1,1,0,1,0,3.896836234516174,0.6188502026590815,0
18,181,Enugu,Regional,Management,4,0,0,1,19,1.2944069814906733,0.1,1
19,267,Lagos,Regional,Management,4,0,0,0,8,3.0039479303653915,0.44027254182892506,0
20,337,Other,Regional,Science,3,0,0,0,3,2.318326435525953,0.30314824286103736,0
21,217,Lagos,Far,Science,4,0,3,1,1,3.3149899502566855,0.5024809458071838,0
22,309,Other,Far,Management,3,0,0,0,5,2.865741184952495,0.41263119274634574,0
23,200,Lagos,Local,Science,1,0,4,1,1,3.6735295249956708,0.5741888607549809,0
24,340,Oyo,Local,Science,1,0,0,0,2,3.184677527678927,0.4764184612916321,0
25,237,Lagos,Local,Science,2,0,0,1,6,1.6831984840656888,0.17612265256898452,1
26,201,Other,Regional,Science,3,0,1,0,19,2.4263313017603676,0.3247492161079203,1
27,268,Enugu,Far,Science,1,0,0,1,16,3.204628091861323,0.48040857412811133,0
28,228,Lagos,Local,Arts,1,0,0,0,8,3.272088343384869,0.49390062443282057,0
29,238,Rivers,Local,Arts,3,1,1,1,8,2.075458553836799,0.25457466652320654,1
30,349,Kano,Local,Management,2,0,0,1,18,1.9708322371631026,0.23364940318846728,0
31,194,Kano,Far,Science,2,0,0,1,4,3.244996270058543,0.4884822097675554,0
32,230,Other,Local,Science,2,1,1,0,5,2.077066155159578,0.2548961867877623,1
33,287,Rivers,Local,Arts,2,0,0,1,17,1.8650964587993715,0.21250224751572105,1
34,234,Other,Regional,Arts,1,1,0,0,0,2.8438875898949267,0.4082604737348321,0
35,243,Oyo,Far,Arts,3,0,0,1,16,2.809243126929079,0.40133158114166256,0
36,310,Oyo,Regional,Management,3,1,0,1,13,2.4972796181285593,0.3389388793815586,0
37,230,Lagos,Regional,Science,1,0,0,1,14,2.63701043462003,0.36688504267985267,0
38,314,Kano,Local,Management,1,0,1,0,4,3.211068578577916,0.4816966714714299,0
39,200,Other,Regional,Arts,1,0,0,0,16,2.6238696770561445,0.3642568911670756,1
40,252,Other,Regional,Science,4,0,0,0,20,3.2565576173318718,0.4907944792222211,0
41,346,Kano,Far,Management,3,0,2,0,20,2.8956251711061327,0.41860798997707327,0
42,197,Kano,Local,Arts,3,1,0,1,10,3.334120124309325,0.5063069806177117,0
43,311,Enugu,Local,Science,3,1,0,0,9,3.902564452349316,0.61999584622571,0
44,268,Other,Local,Science,2,0,0,1,16,3.8713982763124766,0.6137626110183421,0
45,239,Kano,Local,Science,1,0,0,0,0,4.230568376852867,0.6855966311264201,0
46,193,Rivers,Far,Arts,1,1,2,1,4,3.8705175175177287,0.6135864592593925,0
47,188,Other,Local,Science,1,1,0,0,15,3.3908460252334436,0.5176521608025355,0
48,269,Lagos,Regional,Science,4,1,0,1,6,2.8532546898878843,0.41013389373342357,0
49,232,Lagos,Local,Science,3,0,0,1,11,2.8897912617470207,0.41744120810525087,0
50,309,Oyo,Local,Management,1,1,0,1,7,2.497778154851352,0.33903858672611714,0
51,263,Other,Regional,Management,4,1,0,1,17,3.2036234328412467,0.4802076423240961,0
52,271,Kano,Local,Management,1,0,0,1,0,3.757909982969548,0.5910649523497564,0
53,290,Enugu,Local,Science,2,0,0,0,19,2.6194659176935837,0.36337613929456347,0
54,187,Enugu,Regional,Management,3,0,1,0,11,3.170225713068981,0.47352809836964294,1
55,214,Enugu,Regional,Arts,4,0,0,1,3,2.6581102170225845,0.37110499916036366,1
56,260,Oyo,Local,Management,1,0,0,1,11,3.367483464150092,0.5129796485858652,0
57,343,Enugu,Far,Arts,3,0,1,1,0,2.76049329284004,0.39158161432385474,0
58,229,Rivers,Regional,Arts,4,0,0,0,0,2.608391542964758,0.36116126434879836,1
59,283,Enugu,Regional,Management,3,1,0,1,2,2.65602664405438,0.37068828456672276,0
60,311,Enugu,Local,Science,3,0,2,1,20,3.6026630190764535,0.5600155595711375,0
61,181,Enugu,Local,Arts,2,0,0,1,11,3.1226004757357164,0.46400305090299,0
62,313,Other,Local,Management,3,1,0,1,20,2.8572626159999714,0.41093547895584104,0
63,233,Lagos,Local,Management,4,0,0,1,12,3.4091236020377687,0.5213076761634005,0
64,285,Other,Local,Management,3,1,1,1,12,2.86838702602588,0.4131603609610227,0
65,183,Other,Far,Arts,4,0,0,1,20,4.101214314948563,0.6597258187455594,0
66,233,Kano,Regional,Science,3,0,0,1,8,2.4209070770453947,0.3236643711649257,1
67,325,Enugu,Local,Science,1,1,0,1,17,3.050422789746175,0.44956751370508174,0
68,223,Rivers,Regional,Arts,2,0,0,0,0,2.0761878226663995,0.2547205202891266,1
69,341,Kano,Local,Arts,1,0,1,1,5,2.922500486487925,0.42398305305343176,0
70,193,Rivers,Regional,Science,2,0,0,1,4,1.8562916018346962,0.21074127612278598,1
71,274,Lagos,Regional,Science,4,0,0,1,3,3.797053218047301,0.598893599365307,0
72,227,Kano,Regional,Arts,2,1,0,0,5,3.8132030136044635,0.6021235584767395,0
73,194,Other,Far,Management,3,0,0,0,2,3.8273361389795815,0.604950183551763,0
74,219,Kano,Local,Management,3,0,3,0,16,3.2230979841395744,0.48410255258376167,0
75,261,Other,Regional,Management,1,1,0,1,10,2.4961036762319266,0.3387036910022321,0
76,290,Enugu,Far,Management,2,0,0,1,3,2.5597274943712405,0.35142845463009487,0
77,232,Other,Regional,Arts,4,0,0,1,19,4.424137644176417,0.7243104845911301,0
78,203,Enugu,Regional,Management,4,0,0,1,0,4.348541683039837,0.7091912923638142,0
79,333,Lagos,Far,Arts,3,1,0,1,3,3.2980441255606174,0.49909178086797024,0
80,303,Oyo,Local,Management,4,0,0,0,2,2.7874927727357384,0.39698151030299444,0
81,220,Lagos,Far,Management,3,0,1,0,9,4.294898738158809,0.6984627033876085,0
82,336,Enugu,Local,Management,3,0,0,1,0,2.644397470892152,0.36836244993427714,0
83,194,Other,Regional,Science,3,1,0,1,3,3.3830793664767262,0.516098829051192,0
84,224,Kano,Far,Science,1,0,0,1,18,4.2815658443187665,0.6957961246196,0
85,244,Rivers,Local,Science,1,0,2,1,0,2.530929200268298,0.3456687958095064,1
86,268,Oyo,Regional,Science,3,1,0,0,15,3.86337886850969,0.6121587294577847,0
87,250,Other,Local,Science,3,0,0,1,18,3.616448636675096,0.5627726830908659,0
88,188,Oyo,Far,Science,3,0,0,0,19,3.1683867662147516,0.473160308998797,1
89,267,Kano,Far,Science,4,1,0,1,20,2.4052531206935077,0.3205335798945483,0
90,308,Oyo,Regional,Arts,3,1,1,1,17,2.6204481919173794,0.36357259413932264,0
91,315,Kano,Regional,Management,3,0,0,1,1,3.4315608582805273,0.5257951274119522,0
92,242,Oyo,Far,Science,2,0,1,0,5,2.0613305640948907,0.2517490685748249,1
93,318,Other,Local,Arts,2,0,1,1,20,3.3045950872146,0.5004019731987668,0
94,260,Oyo,Local,Management,2,1,0,1,0,3.632840787249331,0.5660511132057129,0
95,315,Other,Regional,Arts,2,0,1,1,18,3.988176138247281,0.6371181834053029,0
96,342,Lagos,Local,Management,3,0,0,1,4,2.081314340431822,0.2557458238422112,0
97,342,Oyo,Local,Science,2,1,0,1,1,4.252997837729019,0.6900825233016505,0
98,212,Other,Local,Science,4,0,1,1,0,4.556290795343949,0.7507411148246365,0
99,302,Lagos,Local,Arts,4,1,0,0,15,3.5281212541708755,0.5451072065900219,0
100,184,Other,Far,Science,2,0,0,0,20,2.369561134860272,0.3133951827279011,1
101,220,Kano,Regional,Arts,1,0,0,1,1,2.9375125693118074,0.42698546961820827,0
102,207,Oyo,Regional,Science,4,0,1,0,3,3.1619222039051946,0.4718673965368857,0
103,314,Other,Local,Science,4,1,0,1,2,3.4163708069844456,0.5227571171527359,0
104,251,Oyo,Local,Science,2,0,0,0,16,3.217585242114882,0.48300000417882316,0
105,191,Lagos,Local,Science,2,0,0,1,14,3.424932114315694,0.5244693786189856,0
106,341,Enugu,Regional,Arts,3,0,1,1,9,3.127402594128702,0.46496347458158716,0
107,212,Enugu,Regional,Arts,4,0,0,1,11,3.4120856756097946,0.5219000908778056,0
108,227,Other,Far,Science,2,1,0,0,11,2.831581263070949,0.4057992083700366,0
109,330,Rivers,Regional,Science,2,0,0,1,19,2.929450626414025,0.4253730810386518,0
110,241,Rivers,Regional,Science,3,0,0,1,6,2.739179863618666,0.38731892847957994,0
111,216,Oyo,Regional,Science,4,0,0,1,9,4.733807627603258,0.7862444812764984,0
112,278,Rivers,Far,Management,2,0,0,1,4,4.371120628939458,0.7137070815437384,0
113,283,Oyo,Regional,Science,3,0,0,0,19,3.644235352010893,0.5683300261580253,0
114,214,Oyo,Local,Management,2,1,0,1,19,4.260247197814191,0.691532395318685,0
115,280,Other,Regional,Management,1,0,0,0,10,3.8387690711823064,0.607236769992308,0
116,310,Enugu,Regional,Science,1,0,0,1,1,3.3450169276112445,0.5084863412780957,0
117,180,Enugu,Regional,Arts,2,0,0,1,15,1.9955429271842533,0.23859154119269743,1
118,184,Lagos,Local,Management,4,0,0,0,11,2.990268863899888,0.43753672853582437,1
119,321,Lagos,Far,Management,1,0,0,0,15,2.931969686385319,0.42587689303291054,0
120,282,Kano,Far,Arts,3,1,0,1,3,2.2935398615262748,0.2981909280611017,0
121,206,Kano,Local,Management,2,0,0,1,1,2.0110701803147073,0.24169699181878823,1
122,316,Oyo,Far,Management,3,0,0,0,9,3.5941754772536205,0.5583180512065709,0
123,194,Oyo,Local,Science,1,0,0,1,12,3.4596034578966504,0.5314036473351769,0
124,269,Enugu,Local,Management,4,1,0,0,18,2.2660824159459105,0.29269943894502887,0
125,221,Other,Local,Arts,3,1,5,1,14,2.6032971948510486,0.36014239472605647,1
126,303,Other,Local,Arts,1,0,0,0,0,4.128977818523331,0.6652785194605129,0
127,242,Other,Far,Management,1,0,2,1,16,2.497842789186752,0.33905151359319713,1
128,275,Oyo,Local,Management,1,0,0,1,19,3.3366391231470423,0.5068107803852552,0
129,231,Enugu,Local,Science,3,0,0,1,3,3.0481773603456155,0.4491184278249698,0
130,275,Rivers,Local,Science,1,0,1,0,19,3.6050907768496505,0.5605011111257768,0
131,311,Lagos,Local,Arts,2,1,0,0,8,2.515113877874856,0.34250573133081796,0
132,330,Rivers,Local,Management,1,0,0,1,5,3.272066782032086,0.49389631216226393,0
133,322,Other,Regional,Arts,2,0,3,1,2,3.334978061876702,0.5064785681311872,0
134,350,Other,Local,Management,4,0,0,1,1,3.384144644983376,0.516311884752522,0
135,208,Kano,Far,Management,2,0,0,1,17,3.2632590863700908,0.49213477302986486,0
